,Sentences without quotation marks,Labels
10,"Let us know in the comments section below and please share and like our Facebook Page.
Kellyanne Conway’s comments have caused reactions on social media especially on Twitter where she has been blasted as “a show off and trying to divert attention from the most important issues facing our country.”What do you think of her comments?
All they want is to see her doing a good job and not spinning facts around,” wrote James Collin, a New York based attorney and registered Democrat.
The American people don’t care if she looks like a model or not.
“Making ridiculous claims that she’s being hated because of her good looks is as ridiculous as it gets.
...boss were doing a good job and being open and honest with the American people then she wouldn t have to face much criticism...
Kellyanne Conway counselor to President Trump claimed that Liberal women hate her because of her striking beauty and intellect in comments that were made to a reporter at a luncheon in Washington D C Pundits were quick to capitalise on her comments and tell her that if she and her...
",
11,"It beggars belief that an American president would engage in such a spectacle.
Now, we are told via twitter that today the president intends to announce his choice for the “most corrupt and dishonest” media awards.
For they are shameful, repulsive statements.
This alone should be a source of great shame for us in this body, especially for those of us in the president’s party.
It bears noting that so fraught with malice was the phrase “enemy of the people,” that even Nikita Khrushchev forbade its use, telling the Soviet Communist Party that the phrase had been introduced by Stalin for the purpose of “annihilating such individuals” who disagreed with the supreme leader.
Mr. President, it is a testament to the condition of our democracy that our own president uses words infamously spoken by Josef Stalin to describe his enemies.
This sign-up form is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.
You can unsubscribe at any time and you can contact us here.
POLITICO Playbook newsletter Sign up today to receive the #1-rated newsletter in politics Email Sign Up By signing up you agree to receive email newsletters or updates from POLITICO and you agree to our privacy policy and terms of service.
“The enemy of the people,” was what the president of the United States called the free press in 2017.
",
12,"...if you are interested in what I am tonight then email me...
...to keep this short but when you email me you can learn more...
I live alone and on my own im 25 i am in the north suburbs but can travel i dont care if you are in the city or suburbs i am pretty laid back and open minded i am going...
I went out women want real sex North Washington last night with friends and had a good time, so I want to have fun tonight as well.
I woke up late today so i plan or want to be up later tonight.
...so i posted an ad earlier but i am still looking because i havent found what im looking for yet... id love to go out tonight with someone or just hang out would be fine.
...still looking to hang out/meet up tonight...are you?
",
13,"Working with Facebook makes us look bad According to Breitbart one fact checker who has reportedly long worked with Facebook even referred to the social network as a terrible company declaring and on a personal level I don t want to have anything to do with them while another fact...
“It’s worth asking how do they treat stories about George Soros on the platform knowing they specifically pay people to try to link political enemies to him?
And in the case of Snopes, their business model is a simple, yet devastatingly effective one since they partnered with Facebook and Google: They debunk viral news, and posts.
Being motivated by ""facts"" is apparently very lucrative.
During the lengthy and bitter legal dispute, CEO David Mikkelson also claimed to be underpaid and was demanding the ""industry standard"" or at least $360,000 a year.
Mikkelson's ex-wife Barbara, claimed in legal documents he embezzled $98,000 of company money and spent it on ""himself and prostitutes.""
According to a report by the Daily Mail, Snopes founder David Mikkelson was accused of embezzling thousands from the company.
Of course, it's understandable that a website has overheads that need to be covered, but when a company is primarily driven by profit, how can they be trusted to remain non-partisan?
Adsense asking for donations from readers via PayPal and has an active GoFundMe campaign to Save Snopes which has so far generated over 850 000 of its 2 million goal...
LaCapria said she was particularly upset to learn that Facebook was paying Snopes That felt really gross Facebook has one mission and fact checking websites should have a completely different mission Aside from allegedly being paid by Facebook Snopes also generates revenue by filling its website with advertisements from Google...
",
14,"Defense counsel insists that there is additional exculpatory evidence the prosecution has yet to turn over to the defense and has asked the court to order Circuit Attorney Kim Gardner to produce it.
...answered, “Yes.
Eric Greitens has been the whereabouts of an incriminating photo that he is alleged to have taken and disseminated.
A deposition of the woman (K.S.)
...in question, the woman who accused Greitens of taking a nude photo of her, reveals one new shocking bit of evidence.
The woman may have dreamed up the incident at the heart of the criminal case.
The defense team’s April 8 motion to compel immediate production of all exculpatory evidence reports the following exchange.
When the defense counsel asked K.S., “Did you ever see [Greitens] in possession of a camera or phone?” she answered: “Not to my knowledge.
I didn’t see him with it.”The question was then asked, “And as you sit here now, you cannot state under oath that you ever saw him in possession of a camera – with a camera or a phone?”K.S.
...replied, “Correct.”The counsel then asked, “And you can’t say you saw it on his person, you can’t say you saw him put it down in the kitchen, take it from the kitchen, or put it down anywhere in the basement.
",
15,"...illegal immigrantsillegal immigrantsillegal immigrants...
Has Big Tech Gone Too Far Banning the President?
Since the program began in May, 536 juveniles have been held — 248 of whom have been deported to Mexico after an average stay of 75 days, according to Border Patrol statistics.
Now, as a result of that decision, young Mexicans are being held for months without charge in shelters across the United States, sometimes without their parents’ knowledge.
You also agree to this site's Privacy Policy and Terms of Use.
You may opt out at anytime.
Completing this poll grants you access to The Lid updates free of charge.
* Yes NoEmail *Comments This field is for validation purposes and should be left unchanged.
...take our poll - story continues below Has Big Tech Gone Too Far Banning the President?
",
16,"The parents say they are reaching out to an attorney, refusing to give any further statements.
The little boy is said to be in stable condition with no life-threatening injuries.
United Airlines released a statement saying the employee acted in a way that does not represent their company and has been fired.
The flight attendant was restrained in the back of the plane until the Pilot could make an emergency landing in Missouri.
It took several passengers to subdue the United Airlines employee.
...from the mother s arms and slapping him in the face...
Eyewitnesses say the little boy was screaming for about 38 minutes straight and the parents were asked by the flight attendant several times to quiet that annoying ass baby down After the 4th attempt to get the parents to comply the flight attendant erupted into a rage grabbing the baby...
The baby, whose name has not been released, was left with a welt mark across his face due to the assault.
He was pulled out of his seat and thrown into the aisle as seen on a video released on Monday.
This comes just hours after a man was dragged off of an overbooked United Airlines flight when he refused to get off the plane.
",
17,"The President has 10 days to sign or veto the enrolled bill.
The Government Printing Office prints the revised bill in a process called enrolling.
The resulting bill returns to the House and Senate for final approval.
Finally, a conference committee made of House and Senate members works out any differences between the House and Senate versions of the bill.
Again, a simple majority (51 of 100) passes the bill.
In the Senate, the bill is assigned to another committee and, if released, debated and voted on.
If the bill passes by simple majority (218 of 435), the bill moves to the Senate.
If released by the committee, the bill is put on a calendar to be voted on, debated or amended.
The bill is then assigned to a committee for study.
First, a representative sponsors a bill.
",
18,"What a rip-off!
Note the loot she asked for, show up to see her, you had to pay $330000+.
2 in Muse, Washington County, posted the comment in response to the Steelers’ decision not to not take the field for the national anthem.
Fire chief apologizes for calling Steelers’ coach Mike Tomlin ‘n-word’ on Facebook | TribLIVEChief Paul Smith, who leads Cecil’s Volunteer Fire Department No.
Now, he should be rehabilitated, he needs a HUGE apology from the entire NFL leadership and his former teammates.
People are very angry at him for surrendering but then, he had everyone against him.
As I said above, Villanueva is the only member of that ‘team’ that stood up for America and he was then muscled by thugs threatening his life and livelihood and who forced him to do a miserable retraction of his good, patriotic deed.
Well, it isn’t working at all.
Like the DNC, they think they can impose their ideology on everyone else via force.
The NFL is now in dire straits.
",
19,"To an extent, the situation speaks for itself.""
""Now we have the Justice Department showing up with a complaint about disclosures on a modest real estate matter.
Imran Awan, 37, was arrested on Monday by FBI agents and U.S. Capitol Police at Dulles International Airport trying to fly to Lahore, Pakistan.
Awan was arraigned in U.S. District Court on Tuesday with one count of bank fraud, a federal offense, and he pleaded not guilty.
Officials said Awan and his wife, Hina Alvi, defrauded the Congressional Federal Credit Union for $165,000 by lying on a home equity loan application, according to federal court documents.
Awan worked as an information technology staffer for Wasserman Schultz, a former chairwoman of the Democratic National Committee.
David Damron, a spokesman for her office, said he was fired Tuesday.
Congresswoman and DNC Chair Debbie Wasserman Schultz on December 19, 2015.
Pacific Press / LightRocket via Getty Images""Mr. Awan previously served as an employee in our office, but his services have been terminated,"" Damron said in a emailed statement.
Awan and his wife, who also worked as a House aide, applied for the loan in December last year and told the loan officer that their Virginia residence listed on the application to secure the loan was not used as a rental property, court documents said.
",
20,"If you are ready to join the opposition but aren’t quite sure how to get involved, take this grassroots call to action today!
This is terrifying, and there’s never been a more important time to stand up to fight and defend your country.
He only cares about his party.
He doesn’t care about the American people.
While McCaskill may not be smart enough to be in on the plan, he’s certainly complicit and he’s demonstrating what nearly all Republicans are guilty of.
Trump is a dictator.
With tweets saying the judges would be responsible for a terrorist attack, the administration is laying the groundwork for a deeper police state or for something we’ve never had in this country, martial law.
That’s right, he tweeted “Can’t wait for the next 9/11 so the 9th District circuit ruling judges will wish they didn’t roll over for enemies wishing death on America #MuslimBan.”Um, seem scary to you?
The worst tweet from McCaskill, though, was one from Friday, where he very literally wished for another 9/11 just to prove judges wrong.
He tweets with glee about global warming “hoaxes.” He tweets that Americans should boycott Nordstrom for removing Ivanka’s merchandise (they were, that’s why they pulled the line).
",
21,"Source: Ladies of Liberty...
Instead, he chose to pull an illegally carried firearm from a concealed location and shot the two men.
In October of 2015, DeLisle was walking home from the local senior center when he was ambushed by a pair of young Muslims.
The men, Abdi Nadjeer Hallalla and Mustif Salabu, were already wanted for a crime spree that spanned nearly four years with dozens of victims.
They preyed on older Americans, often grabbing them off the street to beat and rob them.
Until they met DeLisle.
Now, Hallalla is in a wheelchair breathing through a tube and Salabu is dead.
DeLisle, who stormed the beach at Normandy as a young man, responded to the young men like any good Marine would.
He pulled a .22 from his ankle holster — which is “illegal” in California — and put both men down in seconds.
Prosecutors said that because the two men were unarmed and using threats instead of actually hurting DeLisle meant that there was no imminent danger and that the use of deadly force was “extreme and unnecessary.” The Dewey County Prosecutor explained in a press release:“Mr.
",
22,"We will keep you updated soon.
You can see the video below:This is the developing story.
This impoundment follows the capture of an Obama linked ship containing 4.2 tons of cocaine, the sources note.
The money raised from this drug flight was intended to be used to finance the operations of Daesh (formerly known as ISIS), the sources say.
As a result of this, an airplane filled with Afghan Heroin and North Korean amphetamines was impounded at Argyle International Airport on St. Vincent and the Grenadines in the Caribbean, the sources say.
Former US President Barack Obama, in custody of the US military police, has informed on his drug dealing bosses, according to sources in Japanese military intelligence.
",
23,"Clearly, the fault for Kushner’s probable fate lies with Kushner himself for not seeking proper shelter.
Mass equals force times accelarated ions.”Eric Trump was a decorated mathematician at Oxford and scored well above genius on the Hershman-Rorytar Test.
The roof was what was designed to absorb the impact.
Those walls were just normal walls to keep cost down.
Who would ever think that the threat would come from the side?
He told the National Report that the reason the water was able to penetrate was simple physics:“I designed the building for an air raid.
The building, designed by Eric Trump, was supposed to be able to withstand bunker-busting bombs.
They were all in the “safe” building towards the rear of the property when the wave hit.
The staff at Mar-A-Lago had been sent home except for those who live on the property.
Several other properties on either side, including the home of guitar legend Kieth Richards, were also destroyed.
",
24,"Let us know your thoughts!
Is it all conspiracy garbage?
He claims he committed 37 assassinations for the American government between 1959 and 1972, including the actress and model, Marilyn Monroe.
Hodges says he has no regrets.
In amongst his many confessions, he admits to being a group member of five CIA agents, whose sole task was to carry out assassinations.
He also admits one of his assassinations being none other than Glamour icon, Marilyn Monroe, who was killed not just because of her ties with John F Kennedy, but also because she slept with Fidel Castro, ultimately making her a massive national security risk.
He claims he carried out 37 assassinations for the US Government between 1959 and 1972 including Marilyn Monroe.
Hodges had worked for the CIA.
Hodges was a CIA officer for 41 years working as an operative amongst top level security clearances, he claims he was employed as a hit-man by the organization, his duty was to assassinate individuals who posed a threat to the security of the United States of America.
",
25,"And just in case you haven’t noticed, Trump’s people have most of the guns.
Install Hillary by force or some other act of politics, and you will have a civil war on your hands.
An unknown portion of these voters may have had their minds controlled by a Russian space-beam, agents close to the investigation say.
The allegation that 62 million Americans appear to be employed by Russian intelligence services has rocked the Bureau, and it is reported that multiple agents have taken their own lives, given that realizing just how deep this Russian hacking conspiracy runs blew their minds — literally.
This shocking new revelation comes after it was confirmed as a fact that Russia did Wikileaks because Donald Trump personally called Vladimir Putin and asked him to.
It was also revealed earlier this week that Alex Jones (real name “Alexi Jonesinov”) is a Russian sleeper agent who was ordered by the FSB (formerly the KGB) to post news articles on the internet saying that Donald Trump would be a good President.
However, the revelation that 62 million Americans are taking orders directly from the Kremlin is a revelation of a whole other order, which FBI agents are struggling with how to deal with.
It was determined by Puerto Rican federal judge Mizu Tomazaki that it is a crime to support Donald Trump or to post positive things about him on the internet.
9th circuit judges Weinberg, Steinman and Goldenstein upheld the ruling.
Despite this, the logistics of rounding up 62 million people and locking them in prison present a difficult task to overcome.
",
26,"Share this post if you believe that President Trump will protect America!
Tell us what you think about McCain action in the comments below.
Even if it had, that still does not mean that President Trump was not doing what he vowed to do, which is protecting America.
Both President Trump and Prime Minister Turnbull have denied any acrimony occurred during their phone call.
Australia had denied access to the immigrants based upon security concerns and would not have refused entry to the refugees and detained them offshore without a valid reason.
Former President Barack Obama created the deal shortly before leaving the office.
Among the conflicting reports by CNN about the conversation between Trump and his Australian counterpart, Senator McCain called to offer his “unwavering support” to the foreign leader.
Even if McCain is still the sitting Senator from Arizona, that does not exempt him from the dictates of the Logan Act.
Australia does far more than its fair share to protect and promote...
McCain claimed that he asked Ambassador Hockey to convey to the people of Australia that their American brothers and sisters value our historic alliance honor the sacrifice of the Australians who have served and are serving by our side and remain committed to the safer freer and better world that...
",
27,"House Oversign Committee Chair Rep. Jason Chaffetz, R-Utah, asked for the alleged Comey memo and other documents.
Even a Republican, Rep. Justin Amash, claimed Wednesday there are grounds to impeach President Trump.
To put that in perspective, these casualties exceed the nation’s loss in all its other wars, from the Revolution through Vietnam.
That war came at a high price, as many as 700,000 Americans died fighting for what they believe in.
One Hundred and Fifty-Seven years ago the Democrats waged a war against the First Republican President Abraham Lincoln for giving Blacks their freedom.
It should be noted that the Democratic Party has already done this once before.
Democrats are well schooled in such things probably because of their close alliance with Marxist regimes that can only gain power by seizing it through bloody civil wars.
...sheriff wasn t interested in joining them in the swamp so they launched what can only be characterized as a coup attempt...
...agent with intimate knowledge of the inner workings of the Clinton case told us that they uncovered evidence of such massive corruption that the agents involved realized that damned near the entire government could be brought down The criminal co conspirators in both parties realized almost immediately that the new...
Well, there was one additional promise that Trump made on his way to the White House that has some Republicans joining with Democrats and quaking in their boots, Trump’s promise to “Drain the Swamp.”As we reported yesterday, “An F.B.I.
",
28,"*** UPDATE- Anyone who believes this story or any other story on this website needs to read this post ***.
It just doesn’t make sense to me”After last night’s demonstration where several democrats in leadership roles refused to stand while the widow was being honored, Goldberg continues to make the point that liberals lack a significant amount of class.
How can someone who is truly greiving go out there and be on TV.
“If it were me I wouldn’t be able to leave the house.
These military widows love their 15 minutes in the spotlight”, Goldberg said.
“She was just looking for attention.
Whoopi Goldberg is in hot water after comments she made Wednesday regarding the Navy SEAL widow that was honored last night during President Donald Trump’s historical speech.
",
29,"The latest food stamp numbers show that the downward trend over the past year — and every year after 2013 — is continuing.
Over the past year since President Donald Trump took office, enrollment in SNAP dropped by two million.
The Trump administration announced that it would adopt some of these state welfare reform measures — such as requiring food stamp recipients to work a certain number of hours per week — and implement them at the federal level, causing nationwide food stamp enrollment to plunge even further.
But it also highlights an ongoing downward trend in food stamp enrollment that has been going on for several years since state legislatures enacted welfare reform measures designed to get people back into the workforce.
The sharp decline in food stamp enrollment over one month reflects how states like Florida have curtailed their temporary food stamp benefit programs for those affected by natural disasters.
Sims added that DCF handed out D-SNAP benefits totaling more than $1 billion to 3.1 million people in the months following Hurricane Irma, but the state curtailed its D-SNAP benefit program on December 3.
To qualify for the federal disaster food assistance program, individuals must have lived or worked in one of the 48 declared counties on September 5, and NOT be a customer in the regular food assistance program,” said DCF Communications Director Jessica Sims.
“The dramatic increase in SNAP recipients in the fall was related to the state’s administration of the federal disaster SNAP program following the impact of Hurricane Irma.
...the food stamp program...
A spokesperson for Florida s Department of Children and Families DCF the program that administers food stamp benefits in Florida confirmed with Breitbart News that the dramatic increase in SNAP enrollment in the state was due to disaster relief but that most food stamp recipients were not normal beneficiaries of...
",
30,"(h/t Young Conservatives)
What do you think about this whole mess?
He has been doing everything he can to mess up what Trump is doing.
And being a liberal elite, he can get away with it.
Everywhere President Donald Trump goes, Obama shows up too.
A little odd, no?
This concerning practice has gotten on the last nerve of the Trump administration and it shows that they are concerned with what Obama is trying to do.
Obama needs to realize that he is no longer the president, no matter how much he wants to be.
Obama first went to Italy when Trump was there to try to disrupt what was going on there.
Does he not know when to give up?
",
31,"Immigrants, however, never made up a majority of the population of Bristol County, where Fall River lies, even at their early 20th Century peak.
Later, at the end of the 19th Century a wave of immigrants swelled the town’s population.
Industrialization began when Col. Joseph Durfee, a native-born Revolutionary War hero built the first factory in 1811.
A native-born family, the Bordens ran a mill in what became the town for generations before and after the American revolution.
...not immigrants but colonists...
Rep Joe Kennedy III D MA claimed the host city of his response to President Donald Trump s State of the Union address Fall River Massachusetts was built by immigrants Fact Check MOSTLY FALSE What is now Fall River was first established in the 1600s by English settlers who were...
",
32,"The Post also cited one unidentified person familiar with the effort as saying that Trump has asked his advisers about his authority to grant pardons to aides, family members or even himself.
...of interest in overseeing the investigation...
Nearly everyone who knows him seems to agree that Rod Rosenstein, the Deputy Attorney General and the official overseeing the special counsel Robert Mueller’s investigation of links between the Trump campaign and Russia, has a reputation for integrity.
Rod who is described by Jim Trusty, the former head of the Justice Department’s organized-crime division as a prosecutor, not a persecutor, had sought earlier to protect his good image by not taking a hastened decision to fire anyone without justifiable reasons.
But Trump could not fire Mueller directly, according to the law that authorizes Mueller’s probe, so the only possible way is to throw the Justice Department into upheaval by firing Deputy Attorney General Rosenstein who only holds the key Mueller’s expulsion.
Only the person acting as attorney general and Rod Rosenstein who was on matters related to the probe could fire Mueller and he said he won t do it without good cause So Trump would first had to purge the upper ranks of the Justice Department until he finds someone...
...willing to follow his orders and dismiss the special counsel...
Conflicting reports claim Rosenstein had resigned but it’s understood that Donald Trump made the decision to remove him after a review from his chief of staff, John Kelly.
UNDER the best of circumstances—when America has a president who is disciplined, willing to hear harsh but necessary truths and loyal to those he trusts—the post of Attorney General is “perhaps one of the most powerful job in Washington”, according to Loretta Lynch.
Loretta Elizabeth Lynch, an American attorney who served as the 83rd Attorney General of the United States, appointed by President Barack Obama in 2015 to succeed Eric Holder.
",
33,"That would be a fine example of God’s wrath aimed at what is, in my opinion, a terrible misuse of our Maker’s good name.”/religionlo.com/Commentscomments...
If it were up to me, I would put every single woman or girl who does that in jail.
In fact, one of the Ten Commandments in the Old Testament states: “You shall not take the name of the Lord your God in vain, for the Lord will not hold him guiltless who takes his name in vain” (Exodus 20:7).
The word “vain” means “for no reason” or “useless.”“Thus, God was instructing the Israelites to avoid using his name in a useless, disrespectful way.
Instead, the Israelites were supposed to revere the name of God and use it in a serious, considerate way.
Many of the ancient Israelites were so respectful of the name of God that they would not even pronounce it or write it for fear of using it in vain.
Those who did write it would often throw away the quill they had used, because they thought that any quill that had written God’s name was holy and should not be used for regular words.
“Dr.
John Hagee, the founder and senior pastor of the Cornerstone Church in San Antonio, Texas, not only agrees with what the Good Book says, but also takes the faith to a level of fanaticism.
Speaking exclusively with Newslo Hagee stated that in this world of crimes and deaths that surround us a simple blasphemy does not get that much attention when it should Saying the Lord s name in vain might seem petite and insignificant compared to some of the things that are going...
",
