,Similar sentences,Labels
10,"""Lion Gate makes series for Netflix.""
""The series is composed of Taylor Schilling, uzzo aduba, Kate murgrove, Laura eppen, Lavine Cox, Dasha polanko, Danielle Brooks, Celine Leva, taline Manning, Yar stone, Jackie Cruz, Leah de laria, Adrian C. Moore, Elizabeth Rodriguez Michael Hani and Denis Starring Jack sander
""As part of the deal, series producer jenji kohan will continue to play the role in the seventh season.""
""Netflix renewed the lion gate series for three seasons before its premiere in the fourth quarter of 2016.""
""A Lichfield prison bus seen through the window has left, and the words"" to the highest point ""have not appeared on the screen, which may imply that with the reconstruction of the lowest security zone, women in Lichfield may be sent to the highest security zone rarely seen.""
""In a short tease in season 6, the Lichfield cafeteria is still in ruins after the riots.""
""Viewers of the show will remember that in season five, the death of Samira Willie's character pussy caused a riot, and the prisoners took over Lichfield.""
""It's almost exactly one year after the premiere of season five on June 9 last year.""
""The new season will air on July 27, announced by Netflix on Tuesday.""
""Emmy winner"" Netflix prison de la medi ""Season 6 finally has a premiere date
",
11,"""Every time it's time for her to run away, she's always fiddling with the story - Tonya McCoy (@ Tonya_ Mc201) July 11, 2018 ""
""After reading the maidservant's story, the creator explained what is and is not a part of Gilead, but not everyone was angry with Moss's character and gave up another chance of freedom. I was very angry. I had to wait a year to know what happened...""
“…… To Emily Alexis Bradell, stay in Gilead and try to get her eldest daughter Hannah back... ""
""Oh, that's after the chaos, Martha helps her leave her house in Watford in an epic way of underground railway. She persuades Serena joy (Yvonne strahovsky) to let her go with her children.""
""When faced with such a difficult problem, it's hard to judge what you would do: take a child to escape an anti Utopian regime, or have a chance to save another child, still in danger, but many viewers see the second season of"" snore series ""sophomore is closer to...""
“… Not for Alfred's choice. ""
One fan tweeted: ""I also read: 'the creator of the maid's story says Serena joy may regret her last-minute decision."" Joan broke my last nerve again. ""
Another netizen wrote: ""at the end of handcraft story, I screamed angrily at the TV, crying for Serena and cheering for Emily.""
""June is so annoying to me!!""
""Every time it's time for her to run away, she's always fooling around,"" one said
",
12,"""As a young girl who is very active in dance, drama and swimming teams, salon is a kind of haven.""
""The decision to change the photo was for typesetting, but it was clear that we had the wrong number, and we apologized to Solange unreservedly.""
The singer's songs include don't touch my hair, her upcoming album in the magazine, and the ""art form"" and cultural heritage of knitting hair for black women
""It was reported on Friday that the newspaper, edited by former chancellor of the exchequer George Osborne, had digitally removed Knowles' pigtails from the cover of ES magazine.""
""Knowles published the publication on social media and posted an original, unmodified image on instagram titled"" dtmh ""- short for don't touch my hair, a track from her acclaimed 2016 album a seat at the table.""
“… dtmh@eveningstandard In a post published by the magazine Solange (@ saintrecords) at 9:25 a.m. on October 19, 2017, when the standard magazine released the cover picture, it removed its hair braid, and fans attacked the magazine, accusing it of editing the core part of the singer's cultural identity, which is racism. ""
The newspaper has now offered Knowles an ""unreserved apology,"" saying the change was for ""typesetting.""
""We are very pleased to have the opportunity to interview the outstanding sorange Knowles and take pictures of her for this week's es magazine,"" the standard said in a statement
""Therefore, it is very regrettable that the finished cover art has attracted attention and offence.""
""Photo: Daria Kobayashi Ritch, a reporter who interviewed Knowles, also asked to remove her name from the article and publicly denied it.""
",
13,"""At the beginning of this year, the couple came together publicly for the first time at the FIFA Football Awards ceremony in Zurich.""
""When the 22-year-old model appeared in Madrid on Friday, her 32 year old boyfriend didn't show her washboard stomach in fitness equipment. In the photo, she gave birth to her first child in September and Cristiano Ronaldo's fourth child on November 12. Cristiano welcomed twins EVA and...""
""I want to see it with my own eyes.""
Natasha, 21, claimed he had been texting her and wrote, ""I love your butt.""
""Just hours before the announcement, model and reality star natacha Rodrigues claimed that they had sex with Georgina in March.""
""We're all happy!""
""GIO and Alana are doing great!""
On November 13, he confirmed on instagram: ""Alana Martina has just been born!""
""Mario was Cristiano's seventh grade father in June, and his surrogate mother confirmed that he was pregnant with Georgina's first child in July...""
""Turn around!""
",
14,"“… Script softball sounds like thunder, NBA fans owe Marcus Morris an apology after he closed LeBron in the first game
""More LeBron James describes in amazing detail what's wrong with the Cavaliers. The Nebraska baseball coach pulls the players over with a magnificent bat to celebrate the monster hr. Four things we learned from the Celtics' first game defeat LeBron can't carry the Cavaliers against Bryce Harper's mammoth 448""
""Congratulations to the enhardts!""
""She's cute - although these photos may be all the photos on the Internet for some time, as Dell recently hinted in his podcast, they may not publish too much.""
""For the perfect mother's day post, each new parent shared Isla's first photo with the Internet on their instagram account.""
""Isla was born on April 30, and dale recently shared the true birth story, how they decided her name, and more than a dozen things he learned about his new daughter since then.""
Michelle R. Martinelli and Amy enhart celebrated their first mother's day on Sunday, less than two weeks after their first child, Isla Ross
",
15,"""Or do you think it's a pass?""
""Do you think it's beautiful?""
""Kim Kardashian risked a huge wardrobe breakdown, but she took off her shirtless look on the red carpet!""
""No shirt?""
""No problem.""
""On November 4, 37 year old Kim Kardashian walked on the carpet at the art + Film Festival at the Los Angeles County Museum of art, and she didn't need anything under her suit.""
""When Kardashian left her shirt in the car, keeping in touch with Kardashian seemed to violate gravity and the dress code.""
""No matter who designed her double-sided tape, she deserves an award because Kim successfully passed the event without paper jam or other embarrassing faults.""
""Strictly speaking, if she doesn't wear a bra or shirt, does she have cleavage?""
This year's event honors Star Wars creator George Lucas and artist Mark Bradford, the Daily Mail reported
",
16,"""Photo: Getty pictures...""
""The lesson is, give yourself more time.""
""Ask Anna Faris, we all know who broke up with Chris Pratt in August 2017.""
Earlier this week, Chris made comments about ""the divorce is terrible."" yesterday, Anna responded to those comments for the first time
When talking about the divorce, she also revealed the lessons she had learned from the divorce, as well as her views on her current life
""Although Anna is said to be dating photographer Michael Barrett, she doesn't talk publicly about their relationship, which seems to be intentional.""
""I think it's a lesson I've learned to make relationships more personal, even though I'm proud of being a fairly open person.""
""But, I don't know, it's hard when you're censored.""
""I mean, of course!""
""I think it applies to anyone today - not just celebrities.""
",
17,"""Although this brunette must have won the favor of this day, we can't say that she is worthy of what happens next...""
""News.""
""It was a very interesting experience - meeting Ellie and Becca K. Because they're part of the date - it's really surreal, ""Rachel E told me!""
""It's one of the most epic days of the season.""
""As soon as he came back, Ellie finished her look with diamonds.""
""Becca received a comprehensive treatment from Rachel Zoe, with a shiny dress, high heels and the perfect bag.""
""To her surprise, she came to a mansion where famous stylists and curators of fashion box were waiting for her.""
""Rachel Zoe is back on Becca Coughlin's website as the single woman's new star continues her last season's love quest with single man Ariel luyandick Jr. She chose a Minnesota born man as a very special date
",
18,"This is us pic.twitter.com/8ahak1fjqJ -Sterling K Brown (@ sterlingkb1) after the announcement of Emmy nominations on Thursday, July 13, 2017, stars expressed their gratitude and shock to the nominees on social media, and some even reacted with a little humor. ""
""Thank you @ television Acad for respecting all of us & my sister!""
“…… On July 13, 2017, my two dads and I are going to the Emmy Awards ceremony... ""
""This means that on July 13, 2017, HTTPS t Co ezvrztdpof Laverne Cox lavernecox nominated our friend Carrie Fisher for robdelaney disaster TV. On July 13, 2017, HTTPS t Co bfyhvgjw8 Sharon Horgan Sharon Horgan was very happy, sad, proud, confused and happy. Thank you for nominating me...""
""I got a second email this morning.""
""Thanks to all the fans pic.twitter.com/5acNwqFw9m -Reese Witherspoon (@ rwitherspoon) July 13, 2017, I'm still shocked and happy. ""
""The actors and staff have made great efforts to achieve this goal!""
""I'm so excited about Emmy nominations!""
""Wow
",
19,"""Video: five haircut trends in 2020""
“… January... ""
""To help you understand how to wear your hair in the new year, we summarize the five major haircut trends in 2020 so that you can determine what you want before you go to the Salon...""
""Or, you can get an immediate look with some plug-in extensions.""
“… Inspiration... ""
""You can see 10 hairstyles all over the place this winter, but if you swear that 2020 will be the year when your hair finally grows, let the super long hairstyles of Jennifer Lopez and Kim Kardashian become yours...""
""As Kerry Washington saw in 2020, Bob has texture, soft edges and looks amazing, whether you're part down the middle or closed to the side.""
""But there will be some adjustments.""
""For anyone with straight hair - the most popular hairstyle of the past few years - you may have guessed that it will remain strong for the next decade.""
""The number one hairstyle trend of this decade includes hairstyles of every length, which can be customized according to your hair texture and personal style.""
",
20,"""Continue: last week, Dewan went back to social media, removed Tatum from her name, and didn't put a wedding ring in her underwear photo...""
""Last week, Dewan went back to social media and removed Tatum from her name without a wedding ring.""
Chanin Tatum made his first public appearance at the Honda Indy Grand Prix in Birmingham, Alabama, on Sunday
""The ring throwaway actor strolls on the track with the bachelor Ali luyandick Jr. in the video, he and Channing Tatum make their first public appearance after breaking up with Jenna Dewan at the Honda Indy Grand Prix in Alabama on Sunday...""
“… With a bachelor's degree, Ali Luyan Dick Jr. Tatum served as Grand Marshal of the event and took a spin with Luyan Dick at the official speed of the car, leading to the beginning of the field
""What a great guy!""
""Luyendyk Jr., 36, said of the 37 year old actor that he posted pictures of them in red and black honda racing suits on instagram.""
""Tatum also posted several snapshots on his instagram, which is the first time he has returned to this platform since his marriage broke down.""
""Ran a few crazy laps in the rain!""
""Thank you @ ariejr!""
",
21,"""I really believe that she will thrive outside prison, and I just want to urge him to forgive her.""
“… Proud of us, but we don't think all the way... ""
""Kim Kardashian spent months advocating the release of criminal Alice Mary Johnson, and President Donald Trump finally gave her leniency.""
""Mic reports that trump, 71, released Johnson on Wednesday, June 6, as a first-time nonviolent drug abuser, serving a life sentence without parole.""
""The best news ever!!""
""Thank you very much to @ realDonaldTrump, Jared Kushner & everyone who showed compassion and contributed so much time to this important moment for Ms. Alice Mary Johnson.""
""Her commutation is very encouraging and gives a lot of hope to others, who also deserve a second chance,"" Kardashian, 37, tweeted on Wednesday
""I hope to continue this important work and cooperate with organizations that have been fighting for a long time and deserve recognition."" ""The phone call I just made with Alice will always be one of my best memories,"" she added
Johnson's lawyer, Shawn Holley, revealed the latest in a statement to us weekly: ""tell her for the first time that I'll never forget hearing her cry together.""
""I just had the most wonderful, exciting, amazing phone call with Alice, Kim and Alice's lawyer.""
",
22,"""This story first appeared in Billboard.com Website. ""
""Dr. Luke's team tried to manipulate the truth by exaggerating Lady Gaga's role and mistakenly accusing her of evading reasonable demands to attract media attention to their case.""
“… Process... ""
""A representative of Lady Gaga made the following statement, and Lady Gaga's legal team will submit all relevant information in her possession to the court, at most auxiliary witnesses in this regard...""
""This motion is necessary because Dr. Luke's lawyers, despite repeated requests, were unable to obtain the date of the testimony from Lady Gaga.""
""Dr. Luke's lawyer served a subpoena on Lady Gaga because she had information about Kesha's misrepresentation of Dr. Luke,"" his lawyer wrote in a statement
Instead, the singer proposed ""the sword testimony she gave instead of the testimony.""
""According to the court documents, Luke's side offered to limit the time of testimony to three hours and conduct it in the place chosen by gaga.""
""Previously, Gaga failed to testify in advance and chose not to provide other dates for testifying.""
""Luke's lawyers claim that Gaga joined Kesha's"" defamation campaign ""against the producers and"" spread negative information, ""including a statement urging Sony Music to sever its relationship with Luke, according to court documents.""
",
23,"""NBC broadcasts the 2018 Winter Olympics.""
""No matter what happens, you have a loyal partner by your side."" To learn more about Kenworthy, visit team usa.org. ""
“… For me, having a dog means having a best friend. ""
""They love each other. It's good.""
""But it's good.""
Kenworthy told us earlier: ""my mother liked the dog better than my brother, so I was replaced.""
Since then, the Colorado native and his mother PIP have continued to care for mamuka, while the puppies Jack and Mishka live in Vancouver with MacDonald
""One dog died before the couple left Sochi and the other shortly after arriving in New York.""
“…… Four stray puppies and their mothers, in addition to arranging kennels and vaccinating... ""
""I will probably bring one back four years ago. Kenworthy and his then boyfriend Robin MacDonald stayed in Sochi for more than a month. After the Olympic Games, the athletes can save people...""
",
24,"""[9] IBC [editor] TV [editor] notes [editor] ^ age at beauty contest...""
""Contestant data provided by judges [editors] contestants [editors] through Miss Universe.""
""The meeting will be held on May 21, 2018 at the Hirsch Memorial Stadium in Shreveport, Louisiana.""
""Nick roach and Vanessa roach are the hosts for the first time, and Carson cresley and Lou Cera are the commentators.""
[1] In addition, it has 98 degrees and libris performance
At the end of the event, K á RA McCullough of the District of Columbia crowned her successor, Sarah rose summers of Nebraska, as the first woman in the state to win the championship
""Summers represented the United States in the 2018 Miss Universe beauty contest held in Bangkok on December 17, 2018, and entered the top 20.""
""The beauty contest was held in the same place as the Miss America contest in 1997.""
""[3] in 2018, the Miss America youth beauty contest was held simultaneously for the first time, and the final of the youth contest was held just before the Miss America contest.""
【4】 Background [editor] location [editor] on March 19, 2018, the Miss Universe Organization (MUO) confirmed that the beauty contest will be held on May 21 at the Hirsch Memorial Stadium in Shreveport, Louisiana. This is the fifth time that Louisiana has held a beauty contest. Shreveport held two beauty contests in 1997 and 1998
",
25,"“'””
""I didn't want to tell snoop not to smoke in my house, so I said,"" OK, snoop, do whatever you want. ""
""Get out, get out! ""She said
""I thought, wait a minute, I just want to find a few people to play with! Lovato's house soon became ""full of marijuana"" and ""I thought, no smoking in it!""
""Dave O. knows everyone, so Montana, France, is there. Tedora, Witz Halifa and all these people are there.""
""Suddenly, a few hours later, the Snoopy dog showed up.""
The star called her friend, Dave O., and said, ""please come here."" unexpectedly, the guest list was full of celebrities
Get push notifications containing news, features, etc
""I want to see people! ""She told Jimmy Fallon on the tonight show on Monday night.""
""I'm just single.""
",
26,"""I've never done anything wrong and been publicly humiliated, and I don't want to cause that kind of pain to others.""
""I know what it's like to be publicly humiliated,"" she said
""I have a confidentiality agreement, but I can say it.""
""I'm bold.""
""I don't want to cause pain, you guys,"" curry, 61, told Stephen Colbert on Monday's evening show
Although the former ""today"" anchor giggled on meme and twitter of ""somewhere in Ann curry,"" her guilt made her enjoy Raul's retribution
""In fact, I was a Catholic raised by a Buddhist,"" she said
""So think about Catholic guilt, mixed with karma, worry, and its intensity.""
""It's like, all of a sudden, my brain - think about the power game - wall, and it's climbing up.""
""There's a whole wall saying,"" well, you can't talk like that. ""
",
27,"""Embedded code restart related libraries...""
If you are using ad blocking software, disable it and reload the page
“… On the red carpet of BAFTA in 2018, this video is not available because we can't load sponsor information... ""
""Exclusive content Naomi Watts and Nicole Kidman talk about incredible friendship we've been through a lot together news Naomi Watts and Gypsy co star Billy Crudup's date news Mary Louise Parker finally made it public that Billy Crudup left her to Claire Danes Kate Middleton, Jennifer Lawrence and more stars...""
""For more information on BAFTA in 2018, see below.""
Crudup has a 14-year-old son, William, who had a relationship with actress Mary Louis Parker and dated Claire Dennis
The couple have been together for 11 years and have two children, Samuel and Alexander
""Backgridwatts broke up with her ex husband, liev Schreiber, in September 2016.""
""It's hard to miss the interlocking fingers when they leave carnival.""
Watts wore all black to support the progress of the times, while Crudup wore a white shirt, a gray suit and no tie
",
28,"""Review: how red carpet became a runway""
“… Fashion experts regard Gucci's dress as stolen... ""
""I'm really in good shape, but when you put me next to a model, I look like a video about obesity. However, the loss of the fashion industry for not dressing up actresses as gorgeous as Rachel bloom is going to be the winner of the Internet. Tomorrow, I'll be some lucky people...""
""Many fashion stores are not willing to lend the clothes whose sample sizes are not in size 0 and 2 to others, so it's more and more difficult for me to find clothes without buying them... That's the whole problem with fashion. ""
""When I had to buy clothes for these activities, my body was obviously normal,"" bloom wrote at the time
""And it's not the first time she's publicly required to wear the red carpet: bloom previously revealed in an article in fortune that she spent more than $3000 on her red carpet look.""
""J. Merritt / Getty Images Bloom's powerful and practical actions in buying (and reselling) her own ensemble are undoubtedly refreshing.""
She said with a smile, ""wear this dress tomorrow to see the real gold and silver.""
Bloom continued to be truthful with ranch, saying ""it's OK"" because she could afford her own skirt, so she had to pay for it (retail $3500)
""However, most American women are not in the size of {: rel = nofollow}.""
",
29,"""Woods hasn't played a round since January.""
""Earlier this week, tiger's lawyer pleaded not guilty after falling asleep while drunk driving, claiming that it was because he was mixed with prescription drugs.""
""- Tiger Woods (@ Tiger Woods) also claimed in its August 10, 2017 article that Smith was"" Crazy ""after learning of woods' arrest at the end of May, but Smith, 41, denied that the two were even together at the time.""
""Contrary to the fake article in the daily mail, Christine Smith and I don't date anymore. We haven't dated since last year.""
""This article claims that the two set sail on a 14 time major champion yacht earlier this week, but woods soon set out to solve the problem.""
""On Thursday, in the first round of the PGA Championship, woods responded to an article in the daily mail on twitter, saying that he and private stylist Smith are no longer a project.""
""Google"" Tiger Woods Christine Smith ""you'll see a lot of gossip, not a lot of facts.""
",
30,"""She read about it in the media, it's devastating, after that, she needs to work hard, digest everything, and reflect on herself."" ""Lawyers on both sides are speaking, and Luan hopes to solve it as soon as possible, because she loves her children very much,"" the source added
""Due to the trauma of the child and ex husband's prosecution, Lu an decided to press the reset button and go to the rehab center for examination himself,"" the insider said
Get push notifications containing news, features, etc
""Thank you very much for your support and for adding subtitles to a video of cabaret,"" the 53 year old wrote on instagram
""I want you to know that I'm doing well and hope you can come and see me.""
“… Looking forward to returning to the stage! ""
""!"" dreisepps is scheduled to appear at the paramount theater on Long Island, New York, on August 4 and again at the music box theater in Borgata, Atlantic City, New Jersey, on August 24. ""
A source close to the star told people: ""after her singing and dancing performance, she will continue her outpatient treatment"" before returning to the next season of the Bravo series
""Luan is feeling much better,"" a person familiar with the matter said
""Great."" On July 16, exclusive coverage of her second return to rehab, starring Bethany Frankel, called the decision ""brave and honest."". In turn, she missed the recording of Ronnie's 10th season reunion
",
31,"“… The ground
“… Their service to this country... ""
""Last night's men tell everyone didn't reveal who the next bachelor would be, so it's no surprise that Dean for bachelor is so popular on twitter in this episode.""
""Go on.""
""Yes, well, you see.""
""Play in his season.""
""And me.""
""I mean him.""
""Let me see He has no language barrier, is not an angry misogynist, and as far as we know, he is not responsible for anyone's death, so please register for me. ""
""Oh, yes, this guy started his bachelor career with a racist remark, and he'll still be a better bachelor than the last one, like the five guys we've had (except Ben, you're perfect).""
",
32,"""Ramona's journey to Diaz Jonathan olshevsky's best international film BPM beats a magical woman every minute I'm not a witch Macbeth loveless...""
“… Casting director and ensemble actor muddy director Derris casting director Billy Hopkins Ashley Ingram ensemble actor Jonathan banks Mary Briggs Jason Clark Garrett hedron Jason Mitchell rob Morgan Kerry Mulligan best documentary Lana Wilson faces the place Agnes Walda little last man in fairas Fayyad, Aleppo, the motherland... ""
""The list of nominations for the 2018 film Independent Spirit Award has been announced, in recognition of achievements in the field of independent film.""
""These awards are stepping stones to the Oscars for films like"" go out ""and"" call me your name, ""which has received more nominations this year than any other film.""
""But there are a lot of people who love good times, Mrs. bird, and others.""
""Please check the list of nominees below to find out why you were left out along the way.""
""Luca guadagnino's gorgeous Italian love film call me by your name has six nominations for best feature film, best director, best photography, best editing, best leading actor (timothye chalamet) and best supporting actor (Armie hammer)""
""Elsewhere, Jordan Peel's"" going out ""and the Saffi brothers'"" good time ""tied for second place, each with five nominations,"" Lady Bird ""and"" Rider ""each with four nominations, while I, Tonya, three billboards outside ibin, Missouri, and Columbus each received three nominations.""
""You can read the full list below, but for me, some of the biggest indifference is focused on the big patients.""
""The film has received two nominations, one for best first screenplay by CO writers Kumar nanjani and Emily v. Gordon, and the other for best supporting actress by Holly hunt, but if I'm in charge of nanjani and co star Zoe Carson, Michael showart will be nominated...""
",
33,"""Embedded code restart"" content: Christine Cavallari said she enjoyed holding a ""hills"" party on the podcast of Spencer Platt and Heidi Montag. Heidi Montag and Spencer Platt celebrated their 9th anniversary. Ben Affleck's girlfriend Lindsay schokus introduced her attention since dating him... ""
If you are using ad blocking software, disable it and reload the page
""The 34 year old hill alumnus and Affleck have posted a voluble video on instagram. It's obvious that they are both excited and nervous to see the actor, sometimes tripping over his own words.""
""Damn it
""Oh, my God, I'm actually a little chilly in real life,"" he wrote
""For the first time, I'm fascinated by real stars - except for Taylor Swift last weekend - and I'm sorry to do that to you on family day.""
""It's a real legend, he has a great attitude.""
“Trippin”“。”
""Affleck took it easy and seemed happy to be Pratt's day.""
""Thank you, brother,"" Affleck replied after a long introduction
",
